question,intent,answer,language
do I need to go to emergency room now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
should I call ambulance,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I had a grand mal seizure,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my breathing stopped briefly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have very high fever with seizure,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot control my body movements,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am in extreme pain please help immediately,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
very sudden onset of symptoms,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
rapid change in my condition,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have severe headache and repeated vomiting,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I fell down and cannot get up,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden paralysis on my right side,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am choking,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I passed out for a few minutes,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my head feels like it is going to explode,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot see out of one eye suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am shaking and cannot stop,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I need emergency help right now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my body is completely numb on one side,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I had a convulsion,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot recognize where I am,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have lost control of my bladder suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my speech is completely gone,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot understand what people are saying,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have a very high temperature and feel very confused,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I hit my head very hard and feel strange,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am having uncontrollable muscle spasms,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel my heart is beating very fast and I am confused,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot walk at all suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have double vision suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my arm is completely paralyzed,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel a sudden very intense pressure in my head,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am having a panic attack and cannot breathe,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I vomited three times in the last hour,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my family says I was not responding for a few minutes,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel extremely confused and do not know what day it is,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have sudden ringing and then lost hearing,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel like everything around me is spinning and I cannot stop it,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot open my eyes properly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have sudden loss of coordination,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel my leg dragging when I walk suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my tongue feels numb suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel I am about to have a seizure,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have chest tightness and cannot breathe,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel my face is completely numb,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I had a blackout while driving,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot feel my hands at all suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel pressure behind my eye and my vision is going,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I fell off the bed and cannot get up,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am bleeding from my head,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have sudden complete confusion,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my condition changed very quickly in the last hour,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I think I need to go to hospital right now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel something is very wrong with my brain right now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot recognize my family members suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have a seizure that will not stop,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel I am losing consciousness right now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have sudden loss of smell and taste and confusion,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot stand up without falling,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel extreme pressure in my skull suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot control my arms,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I have uncontrollable shaking on my right side,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am having difficulty swallowing and breathing,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I need help immediately,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I think I am dying please help,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel my brain is not working,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
What is glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does my diagnosis mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What type of brain tumor do I have,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is grade 4 glioblastoma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
How serious is my brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is GBM,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does tumor grade mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Is my tumor cancerous,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is the difference between benign and malignant tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What stage is my cancer,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does the MRI result mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Can you explain my diagnosis,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is meningioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is an astrocytoma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does grade 3 tumor mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
How did I get a brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What causes brain tumors,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Is brain tumor hereditary,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Will my tumor grow back,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is the prognosis for glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
How long do people live with glioblastoma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does tumor recurrence mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a secondary brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Can brain tumors be cured,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is MGMT methylation,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does IDH mutation mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a low grade tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a high grade tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does T1 and T2 mean in my MRI report,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is FLAIR in my MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
I want to understand my diagnosis better,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
My doctor said I have a brain tumor what does that mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is the survival rate for my type of tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is recurrent glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
How fast does glioblastoma grow,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is mass effect in brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is edema around the tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
My tumor is in the frontal lobe what does that affect,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a primary brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does biopsy result mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is WHO grade for brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
I was just told I have a brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Is glioma a serious condition,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What are the different types of brain tumors,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is oligodendroglioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does tumor enhancement mean on MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
Can you tell me about my condition,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does my pathology report mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is the difference between glioma and glioblastoma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a grade 2 brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a pituitary tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is ependymoma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a craniopharyngioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does ring enhancement mean on MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a brainstem glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is diffuse intrinsic pontine glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a spinal cord tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does midline shift mean in my report,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is leptomeningeal disease,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does necrosis mean in brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a pseudoprogression,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is radiation necrosis,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
How do doctors diagnose a brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What tests are done to diagnose brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a PET scan for brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a spectroscopy MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is perfusion MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is functional MRI for brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does my genetic testing result mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is TERT promoter mutation,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is 1p19q codeletion,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does EGFR amplification mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is H3K27M mutation,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a molecular profile of my tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does Ki67 index mean in my pathology,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is tumor heterogeneity,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does multifocal tumor mean,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a butterfly glioma,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is leptomeningeal spread,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What does my cerebral angiogram show,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is intraoperative MRI,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is awake craniotomy,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a stereotactic biopsy,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
What is a liquid biopsy for brain tumor,diagnosis,Your diagnosis is confirmed by your doctor based on your MRI scan and laboratory tests. Please ask your doctor to explain the details of your specific condition and what it means for your treatment.,en
